departure, arrival, price, departure date, arrival date, transfer type, link
Duesseldorf, Amsterdam, 39.99, 2024-04-19T10:30:00+02:00, 2024-04-19T14:20:00+02:00, direct, https://shop.flixbus.ua/search?departureCity=40d911c7-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Duesseldorf, Amsterdam, 39.99, 2024-04-19T11:50:00+02:00, 2024-04-19T14:35:00+02:00, direct, https://shop.flixbus.ua/search?departureCity=40d911c7-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Duesseldorf, Amsterdam, 37.49, 2024-04-19T12:55:00+02:00, 2024-04-19T15:45:00+02:00, direct, https://shop.flixbus.ua/search?departureCity=40d911c7-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Duesseldorf, Amsterdam, 39.99, 2024-04-19T15:25:00+02:00, 2024-04-19T18:30:00+02:00, direct, https://shop.flixbus.ua/search?departureCity=40d911c7-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Duesseldorf, Amsterdam, 29.99, 2024-04-19T16:20:00+02:00, 2024-04-19T19:50:00+02:00, direct, https://shop.flixbus.ua/search?departureCity=40d911c7-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Duesseldorf, Amsterdam, 24.99, 2024-04-19T18:20:00+02:00, 2024-04-19T21:25:00+02:00, direct, https://shop.flixbus.ua/search?departureCity=40d911c7-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Duesseldorf, Amsterdam, 29.99, 2024-04-19T19:50:00+02:00, 2024-04-19T22:25:00+02:00, direct, https://shop.flixbus.ua/search?departureCity=40d911c7-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Duesseldorf, Amsterdam, 29.99, 2024-04-19T19:50:00+02:00, 2024-04-19T22:50:00+02:00, direct, https://shop.flixbus.ua/search?departureCity=40d911c7-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Moenchengladbach, Amsterdam, 27.98, 2024-04-19T11:55:00+02:00, 2024-04-19T19:15:00+02:00, direct#direct, https://shop.flixbus.ua/search?departureCity=40da838e-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Moenchengladbach, Amsterdam, 28.98, 2024-04-19T18:40:00+02:00, 2024-04-20T01:30:00+02:00, direct#direct, https://shop.flixbus.ua/search?departureCity=40da838e-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Moenchengladbach, Amsterdam, 28.98, 2024-04-19T18:40:00+02:00, 2024-04-20T01:55:00+02:00, direct#direct, https://shop.flixbus.ua/search?departureCity=40da838e-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
Cologne, Amsterdam, 44.99, 2024-04-19T10:50:00+02:00, 2024-04-19T14:35:00+02:00, direct, https://shop.flixbus.ua/search?departureCity=40d91025-8646-11e6-9066-549f350fcb0c&arrivalCity=40dde3b8-8646-11e6-9066-549f350fcb0c&rideDate=19.04.2024&adult=2&_locale=uk&features%5Bfeature.darken_page%5D=1&features%5Bfeature.enable_distribusion%5D=1&features%5Bfeature.train_cities_only%5D=0&features%5Bfeature.webc_search_persistent_explore_map%5D=0&atb_pdid=cc861ad2-ab97-43a7-971e-623e0c66e29f&_sp=1c858985-ce9b-4a8e-9e59-e4f41512f0b7&_spnuid=af71e384-6ff1-4a74-b031-8e7851f5e897
